OBJECTID,RELI,E_KOORD,E_ZENTER,N_KOORD,N_ZENTER,B20BM14,B20BM15,B20BM16,B20BM17,B20BM18,B20BM19,M_TOT,B20BW14,B20BW15,B20BW16,B20BW17,B20BW18,B20BW19,W_TOT,TOT
104,67782492,2677800,2677850,1249200,1249250,3,3,0,3,3,3,15,3,3,4,3,3,3,19,34
105,67792491,2677900,2677950,1249100,1249150,0,3,3,0,3,0,9,3,0,6,4,3,3,19,28
106,67812487,2678100,2678150,1248700,1248750,0,0,0,0,0,0,0,3,0,0,3,0,0,6,6
107,67822494,2678200,2678250,1249400,1249450,3,3,4,0,0,0,10,4,4,3,0,0,0,11,21
108,67842491,2678400,2678450,1249100,1249150,3,3,3,3,3,0,15,3,4,3,5,0,0,15,30
109,67852518,2678500,2678550,1251800,1251850,3,0,3,3,3,3,15,3,3,3,0,0,3,12,27
110,67852512,2678500,2678550,1251200,1251250,0,0,0,3,3,0,6,4,0,0,3,3,0,10,16
111,67852478,2678500,2678550,1247800,1247850,0,0,0,3,0,0,3,0,0,0,3,0,0,3,6
112,67862516,2678600,2678650,1251600,1251650,0,3,0,0,3,0,6,3,3,0,3,0,0,9,15
113,67872478,2678700,2678750,1247800,1247850,4,3,3,0,3,0,13,3,3,3,3,3,0,15,28
114,67872515,2678700,2678750,1251500,1251550,0,4,3,3,3,3,16,6,9,11,9,7,3,45,61
115,67872481,2678700,2678750,1248100,1248150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,67882493,2678800,2678850,1249300,1249350,0,3,0,0,0,0,3,0,3,0,3,0,0,6,9
117,67882514,2678800,2678850,1251400,1251450,3,0,3,3,3,0,12,4,3,0,3,3,0,13,25
118,67882486,2678800,2678850,1248600,1248650,3,0,3,0,0,0,6,3,3,3,0,3,0,12,18
119,67892497,2678900,2678950,1249700,1249750,3,3,0,0,0,0,6,0,0,0,0,0,0,0,6
120,67892472,2678900,2678950,1247200,1247250,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3
121,67902485,2679000,2679050,1248500,1248550,4,3,3,3,0,0,13,3,3,0,3,3,3,15,28
122,67902489,2679000,2679050,1248900,1248950,3,3,0,0,3,0,9,0,3,3,3,3,0,12,21
123,67912474,2679100,2679150,1247400,1247450,0,0,3,3,0,0,6,0,3,3,3,0,0,9,15
124,67912489,2679100,2679150,1248900,1248950,3,0,0,3,3,0,9,3,3,3,4,0,3,16,25
125,67922510,2679200,2679250,1251000,1251050,0,3,3,3,0,0,9,0,3,0,3,0,0,6,15
126,67932510,2679300,2679350,1251000,1251050,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4
127,67932488,2679300,2679350,1248800,1248850,3,3,0,0,0,0,6,3,3,3,3,0,0,12,18
128,67942473,2679400,2679450,1247300,1247350,0,0,0,3,3,3,9,4,3,3,3,0,5,18,27
129,67942496,2679400,2679450,1249600,1249650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,67952505,2679500,2679550,1250500,1250550,3,3,3,3,3,0,15,6,3,3,3,3,0,18,33
